loss_probability,repetitions,expected_qber,detected_fraction_count,detected_fraction_mean,detected_fraction_sd,detected_fraction_sem,sifted_fraction_count,sifted_fraction_mean,sifted_fraction_sd,sifted_fraction_sem,candidate_fraction_count,candidate_fraction_mean,candidate_fraction_sd,candidate_fraction_sem,qber_estimate_count,qber_estimate_mean,qber_estimate_sd,qber_estimate_sem,theory_detected_fraction,theory_sifted_fraction,theory_candidate_fraction_approx
0.0,150,0.02,150,1.0,0.0,0.0,150,0.4998263333333334,0.0035479018124369714,0.00028968496993220694,150,0.39988333333333337,0.0028381607776080233,0.00023173485710401272,150,0.020214698287009416,0.0028763104733506165,0.00023484976671773878,1.0,0.5,0.4
0.1,150,0.02,150,0.8999466666666668,0.002130000367604548,0.0001739138017523913,150,0.4499896666666666,0.003332986933902681,0.00027213724358083236,150,0.360012,0.002666311581504388,0.00021770342899863306,150,0.02002596261654047,0.0035851608380008445,0.00029272715663036705,0.9,0.45,0.36000000000000004
0.2,150,0.02,150,0.8000603333333334,0.0027065747482766757,0.00022099090279932264,150,0.39970766666666663,0.0036227966535317935,0.0002958001081005117,150,0.31978700000000004,0.0028981157382366157,0.00023663015914030295,150,0.01966205426639912,0.0035095390654781232,0.00028655266475951743,0.8,0.4,0.32000000000000006
0.30000000000000004,150,0.02,150,0.7000839999999999,0.0032858314915107955,0.0002682870178323215,150,0.3499346666666666,0.0032642405957077772,0.0002665241285720884,150,0.27996733333333335,0.0026118854992701226,0.00021325955799287617,150,0.02016814766814869,0.003825179478062269,0.0003123245965272746,0.7,0.35,0.27999999999999997
0.4,150,0.02,150,0.6000726666666666,0.003577814688023187,0.0002921273459963931,150,0.29982733333333333,0.0033201115180321924,0.00027108597027720473,150,0.239883,0.0026570334040179307,0.00021694586897913978,150,0.020338338831256263,0.004193402434301799,0.0003423898750061422,0.6,0.3,0.24
0.5,150,0.02,150,0.49974133333333326,0.0034328982152984893,0.00028029496554641094,150,0.24990866666666667,0.0031163659068415553,0.00025445021078558623,150,0.19994833333333334,0.0024943184881562218,0.000203660251732437,150,0.019666166617218376,0.0047956782880570524,0.0003915654925427914,0.5,0.25,0.2
0.6000000000000001,150,0.02,150,0.399357,0.0034555423335262386,0.00028214385005751895,150,0.19986333333333334,0.00279960248057059,0.00022858658533426673,150,0.15991366666666665,0.0022373499474762637,0.00018267885824531968,150,0.020307498218050432,0.004647070994529292,0.00037943175783615744,0.3999999999999999,0.19999999999999996,0.15999999999999998
0.7000000000000001,150,0.02,150,0.29981,0.0029291637031753606,0.00023916521486202786,150,0.14981866666666666,0.002264702498104707,0.00018491218465209734,150,0.11987600000000001,0.0018107686824872218,0.000147848643810182,150,0.019605322904031428,0.005694199910636244,0.0004649294758153456,0.29999999999999993,0.14999999999999997,0.11999999999999998
0.8,150,0.02,150,0.20015600000000003,0.0025663668728719397,0.0002095429777106119,150,0.10009633333333333,0.0020204250388984016,0.00016496701362813128,150,0.08009566666666666,0.0016176038359321393,0.0001320768001334166,150,0.019543127748904883,0.0065260721893244346,0.000532851562947092,0.19999999999999996,0.09999999999999998,0.07999999999999999
0.9,150,0.02,150,0.09990866666666666,0.0021100887944249976,0.00017228802861019179,150,0.05003233333333334,0.0014887851074607335,0.00012155879499778061,150,0.04004633333333334,0.0011904837529321955,9.720259139191455e-05,150,0.019183027196336782,0.009742264998501515,0.0007954526061768345,0.09999999999999998,0.04999999999999999,0.039999999999999994
1.0,150,0.02,150,0.0,0.0,0.0,150,0.0,0.0,0.0,150,0.0,0.0,0.0,0,,,,0.0,0.0,0.0
