experiment,repeat,seed,n_signals,eve_fraction,noise_probability,noise_model,loss_probability,basis_probability_z,sample_fraction,sample_size,abort_threshold,confidence,n_detected,n_sifted,n_test,n_remaining,actual_errors,test_errors,qber_actual,qber_estimate,qber_ci_low,qber_ci_high,qber_ci_width,detected_fraction,sifted_fraction,candidate_fraction,has_error,full_sample,expected_qber
05_loss_retention,18,46180699938130256869073202200961237199,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10095,2019,8076,208,47,0.02060425953442298,0.023278850916295196,0.01755106631064949,0.030817261515563438,0.013266195204913948,1.0,0.50475,0.4038,1,1,0.02
05_loss_retention,19,36799774540701383997421293316211105422,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9919,1983,7936,213,46,0.021473938905131565,0.02319717599596571,0.017436234592896314,0.030801866336194226,0.013365631743297912,1.0,0.49595,0.3968,1,1,0.02
05_loss_retention,20,29978546387213829578584510818370606658,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10107,2021,8086,229,44,0.022657564064509746,0.02177140029688273,0.01625778700391949,0.02909957093667914,0.01284178393275965,1.0,0.50535,0.4043,1,1,0.02
05_loss_retention,21,304010224140850437799035074832668040587,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9954,1990,7964,203,39,0.020393811533052038,0.019597989949748745,0.014369263450232064,0.026677861163728587,0.012308597713496523,1.0,0.4977,0.3982,1,1,0.02
05_loss_retention,22,255353059423347582066937259492572555364,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9837,1967,7870,203,39,0.020636372877909932,0.019827147941026944,0.014537664652466805,0.02698848574101342,0.012450821088546615,1.0,0.49185,0.3935,1,1,0.02
05_loss_retention,23,101531569602922881670155544409619650400,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9966,1993,7973,207,46,0.020770620108368453,0.02308078273958856,0.01734852766137744,0.030648001255493468,0.013299473594116026,1.0,0.4983,0.39865,1,1,0.02
05_loss_retention,24,222583428334212849587141269894324073663,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10018,2003,8015,192,34,0.01916550209622679,0.016974538192710935,0.012172384744775559,0.023625888459581728,0.01145350371480617,1.0,0.5009,0.40075,1,1,0.02
05_loss_retention,25,293360628551455333402285299803643065065,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10041,2008,8033,188,38,0.01872323473757594,0.018924302788844622,0.013818389832005663,0.025867370927440948,0.012048981095435285,1.0,0.50205,0.40165,1,1,0.02
05_loss_retention,26,117206705383027559022986927041028466667,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10124,2024,8100,208,45,0.020545239035954167,0.022233201581027668,0.01665749304247531,0.029619033365692868,0.012961540323217557,1.0,0.5062,0.405,1,1,0.02
05_loss_retention,27,205661317706475983629871320712494133406,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9982,1996,7986,191,29,0.019134441995592066,0.014529058116232466,0.01013498428302393,0.020788196426091893,0.010653212143067962,1.0,0.4991,0.3993,1,1,0.02
