noise_probability,eve_fraction,repetitions,expected_qber,qber_estimate_count,qber_estimate_mean,qber_estimate_sd,qber_estimate_sem,qber_actual_count,qber_actual_mean,qber_actual_sd,qber_actual_sem
0.0,0.0,150,0.0,150,0.0,0.0,0.0,150,0.0,0.0,0.0
0.0,0.1,150,0.025,150,0.025388393663992516,0.0035306020051369194,0.00028827244658108684,150,0.024952521333700163,0.001506293370610917,0.0001229883386977914
0.0,0.2,150,0.05,150,0.04978212917769241,0.004692537304300164,0.00038314406648368924,150,0.050090032062678765,0.002054976832242804,0.00016778815574119388
0.0,0.30000000000000004,150,0.07500000000000001,150,0.07535501594764266,0.005923331458362267,0.0004836379883454432,150,0.0750755905667305,0.0023236018088059495,0.00018972129323275376
0.0,0.4,150,0.1,150,0.10075737888843797,0.006962481595490546,0.000568484241749025,150,0.10018269988255363,0.0032099956803587366,0.0002620950497805678
0.0,0.5,150,0.125,150,0.125261038804715,0.007038760943387088,0.0005747124244243173,150,0.12557433140656404,0.0030686211166154444,0.0002505518649879131
0.0,0.6000000000000001,150,0.15000000000000002,150,0.14977174102901336,0.007757958900334245,0.0006334346917100732,150,0.14939180689428985,0.0037172996383645547,0.00030351624450085314
0.0,0.7000000000000001,150,0.17500000000000002,150,0.17574419991009047,0.008961737924300677,0.000731722837436184,150,0.1749289300376441,0.003819845789566131,0.0003118891026851916
0.0,0.8,150,0.2,150,0.20024207162662183,0.009091340234977659,0.0007423048217909927,150,0.20044960805970236,0.0036915427477940024,0.00030141320319223457
0.0,0.9,150,0.225,150,0.22573673546756495,0.00964308103838029,0.0007873542697446492,150,0.22515738727013107,0.0041359002201380056,0.0003376948388800911
0.0,1.0,150,0.25,150,0.24860054143886287,0.009775875360654239,0.0007981968807549786,150,0.24971588218385402,0.003997712218364924,0.00032641183578279554
0.02,0.0,150,0.01,150,0.009896744148269753,0.002318247621788623,0.0001892841256934243,150,0.00991416277964951,0.0009768473777705619,7.975925440378785e-05
0.02,0.1,150,0.0345,150,0.03416515848109072,0.003618565141803592,0.0002954546066146885,150,0.0344054107914202,0.0016706002230119062,0.0001364039370186318
0.02,0.2,150,0.059000000000000004,150,0.059568003661047274,0.004832817383422448,0.0003945978869812508,150,0.05933853936035773,0.00212903015872824,0.00017383458452936216
0.02,0.30000000000000004,150,0.0835,150,0.08415637880178456,0.0064761828828453815,0.0005287781181305918,150,0.08399998521082043,0.0025523171095551958,0.00020839581933951537
0.02,0.4,150,0.108,150,0.10715279098466231,0.00694692206511582,0.0005672138114138445,150,0.10799494199477465,0.0034728976704450827,0.00028356090738302747
0.02,0.5,150,0.1325,150,0.13218334016866318,0.006931293392582761,0.0005659377356450763,150,0.13264827995096026,0.0031405104222958337,0.00025642160221724374
0.02,0.6000000000000001,150,0.15700000000000003,150,0.15635242751852155,0.008478009184240862,0.0006922265512006524,150,0.1562073709026323,0.0036575727960258416,0.0002986395682449363
0.02,0.7000000000000001,150,0.18150000000000002,150,0.18091242922234932,0.00861003098266751,0.0007030060859029811,150,0.18125567069189613,0.003751064206971117,0.00030627310998322893
0.02,0.8,150,0.20600000000000002,150,0.20620149700221452,0.00977100922036111,0.0007977995620638132,150,0.2060935456614958,0.00418423780389246,0.00034164158606667306
0.02,0.9,150,0.2305,150,0.22955347577845533,0.009723281984265773,0.000793902649554916,150,0.23015847921377733,0.004062040696132359,0.0003316642339981351
0.02,1.0,150,0.255,150,0.25587666802306347,0.00976721133081372,0.0007974894656807947,150,0.25515272194147554,0.004607427300149484,0.0003761948637445118
0.06,0.0,150,0.03,150,0.02965182359670847,0.0039314867397503206,0.00032100454809688293,150,0.029886027187806034,0.0015197870995999766,0.00012409009705614463
0.06,0.1,150,0.0535,150,0.05318956287022185,0.005031119571695315,0.000410789192852779,150,0.05312249275858728,0.0024650067857955884,0.00020126696125657414
0.06,0.2,150,0.077,150,0.07640929752410416,0.0060196259853197275,0.0004915004035477252,150,0.0769621482563055,0.0026929850696198387,0.00021988131018340127
0.06,0.30000000000000004,150,0.1005,150,0.10048765997336333,0.006674839464687521,0.0005449983601158814,150,0.1004487493262725,0.0030470449376080637,0.00024879017734901203
0.06,0.4,150,0.124,150,0.12423853796749271,0.00687962989540183,0.0005617194287643763,150,0.12389385684548238,0.003459106456309802,0.0002824348594641976
0.06,0.5,150,0.1475,150,0.14669426838244784,0.007995565395149442,0.0006528351807723562,150,0.14728549022845328,0.003875584646312098,0.00031644016128098187
0.06,0.6000000000000001,150,0.171,150,0.1715197010004546,0.00896215696364421,0.0007317570518553108,150,0.17117707468517787,0.0035104266372378724,0.0002866251346902338
0.06,0.7000000000000001,150,0.1945,150,0.19512440363145173,0.008663201798732048,0.0007073474648551643,150,0.19479059779052266,0.0038076755068904644,0.00031089540326583104
0.06,0.8,150,0.218,150,0.21850277952705113,0.008952758993250438,0.0007309897107858934,150,0.21782527582351416,0.0037074605935805225,0.0003027128898582774
0.06,0.9,150,0.2415,150,0.2418613979232296,0.009351881108854317,0.0007635778950622141,150,0.24166815315680726,0.0042647732629242565,0.00034821727876096375
0.06,1.0,150,0.265,150,0.26505263656326555,0.008051505836734212,0.0006574026987013114,150,0.2647448488159258,0.0041939317713696475,0.0003424330951967479
