sample_size,repetitions,expected_qber,qber_estimate_count,qber_estimate_mean,qber_estimate_sd,qber_estimate_sem,qber_ci_width_count,qber_ci_width_mean,qber_ci_width_sd,qber_ci_width_sem,candidate_fraction_count,candidate_fraction_mean,candidate_fraction_sd,candidate_fraction_sem,theory_qber_sd
10,150,0.05,150,0.054,0.06915598553683165,0.005646562574151031,150,0.3316238969107478,0.06510904053842627,0.005316130898710976,150,0.4995483333333334,0.0037610928400174364,0.0003070919444425988,0.06892024376045111
25,150,0.05,150,0.048,0.03849518404464216,0.0031431186154633876,150,0.1909395466855016,0.0414333238297794,0.0033830167243486154,150,0.4986380000000001,0.003612774129772254,0.00029498177246231865,0.04358898943540673
50,150,0.05,150,0.05053333333333333,0.030801086589973457,0.002514898188957216,150,0.1294405111106676,0.02841211808035205,0.0023198397269522278,150,0.4974483333333332,0.0036005938020095183,0.00029398725286503333,0.030822070014844882
100,150,0.05,150,0.0476,0.022693759305355204,0.001852937688121929,150,0.08633461019317562,0.017438683007395858,0.0014238625051421153,150,0.49522900000000014,0.0038564435314690365,0.00031487729579853137,0.021794494717703367
250,150,0.05,150,0.04906666666666666,0.014776485340420432,0.0012064949758581948,150,0.054306239121158555,0.006994886720371268,0.0005711301091159896,150,0.4874723333333333,0.0033298806671216764,0.0002718836179602184,0.013784048752090222
500,150,0.05,150,0.05056,0.010055203334292138,0.0008210039142982601,150,0.03867491727643886,0.0034996095349525947,0.0002857419219870863,150,0.47538399999999986,0.003838393644718073,0.00031340352871670195,0.009746794344808964
1000,150,0.05,150,0.049713333333333325,0.006606216989191121,0.0005393953584541207,150,0.02704652911454203,0.001689293242135662,0.0001379302156388081,150,0.4501696666666667,0.003232583154054155,0.00026393930928497825,0.006892024376045111
2500,150,0.05,150,0.050191999999999994,0.004605154975567412,0.00037600932921930976,150,0.017140287384776923,0.0007438610319668313,6.0735998928628767e-05,150,0.3747433333333333,0.0035558613426486664,0.0002903348628525709,0.0043588989435406735
5000,150,0.05,150,0.049908,0.003248262726174567,0.00026521954098765086,150,0.01207966221783976,0.00037037519078671595,3.024100769378078e-05,150,0.25004966666666667,0.0035663956231035514,0.0002911949832499657,0.0030822070014844883
