loss_probability,repetitions,expected_qber,detected_fraction_count,detected_fraction_mean,detected_fraction_sd,detected_fraction_sem,sifted_fraction_count,sifted_fraction_mean,sifted_fraction_sd,sifted_fraction_sem,candidate_fraction_count,candidate_fraction_mean,candidate_fraction_sd,candidate_fraction_sem,qber_estimate_count,qber_estimate_mean,qber_estimate_sd,qber_estimate_sem,theory_detected_fraction,theory_sifted_fraction,theory_candidate_fraction_approx
0.0,30,0.02,30,1.0,0.0,0.0,30,0.49917333333333336,0.007015398498442837,0.001280830669161671,30,0.39941999999999994,0.0056143535262077465,0.0010250360240375515,30,0.022788815301455753,0.007598344090374925,0.0013872614859948063,1.0,0.5,0.4
0.1,30,0.02,30,0.9008133333333336,0.004293678860944257,0.0007839149222740857,30,0.44949999999999996,0.006448469478929839,0.001177324064997819,30,0.35966666666666675,0.00516469001862704,0.0009429390752412687,30,0.021756911407479648,0.006772060546082239,0.0012364034406266652,0.9,0.45,0.36000000000000004
0.2,30,0.02,30,0.8011400000000002,0.005199509260663371,0.0009492961700074456,30,0.40079333333333333,0.006252499270406736,0.0011415449637287875,30,0.32071333333333335,0.005002532691880515,0.000913333333333333,30,0.019671203724695625,0.005705989879475764,0.0010417664566283534,0.8,0.4,0.32000000000000006
0.30000000000000004,30,0.02,30,0.69898,0.007982109305535542,0.001457327107704571,30,0.3506066666666667,0.006829446048789998,0.0012468805520622697,30,0.2805533333333333,0.005470594327753668,0.0009987893054234978,30,0.02025111659216933,0.00687552224686085,0.0012552928764114303,0.7,0.35,0.27999999999999997
0.4,30,0.02,30,0.5999133333333333,0.007330932731422626,0.0013384390748510445,30,0.29913333333333336,0.006788496016123123,0.001239404133188196,30,0.23939999999999997,0.00544438970963182,0.0009940050186047831,30,0.01821008328185806,0.010324034493377808,0.0018849021921614818,0.6,0.3,0.24
0.5,30,0.02,30,0.4989800000000001,0.006672299918835826,0.0012181897253287569,30,0.24942000000000003,0.006564554768630153,0.0011985182422522805,30,0.19962666666666665,0.00524325072459057,0.0009572822321711875,30,0.019248383922467912,0.00890299763804456,0.0016254575452574064,0.5,0.25,0.2
0.6000000000000001,30,0.02,30,0.39864,0.006264602252283086,0.0011437546557910385,30,0.19954666666666668,0.005296695998992871,0.0009670399596319187,30,0.15970666666666666,0.004237023461829302,0.0007735711089075126,30,0.01903863508420398,0.010163413360927197,0.001855576919676407,0.3999999999999999,0.19999999999999996,0.15999999999999998
0.7000000000000001,30,0.02,30,0.29849333333333333,0.008080411961729688,0.0014752746351246403,30,0.14956666666666668,0.007388916832257824,0.0013490254748524087,30,0.11973999999999997,0.005904796413904138,0.0010780633977903026,30,0.018095056392343198,0.00990969865532845,0.0018092551638673347,0.29999999999999993,0.14999999999999997,0.11999999999999998
0.8,30,0.02,30,0.1990333333333334,0.006514934214256652,0.0011894588099368546,30,0.09968666666666667,0.004337386256748398,0.0007918947644779972,30,0.07983333333333334,0.003454565528182342,0.0006307144887217392,30,0.018905536276879086,0.010339086563632992,0.001887650311633454,0.19999999999999996,0.09999999999999998,0.07999999999999999
0.9,30,0.02,30,0.10025999999999999,0.005139475352266196,0.0009383355280593352,30,0.048979999999999996,0.0035928473004203693,0.0006559611707039255,30,0.039266666666666665,0.002864928636450483,0.0005230620132754823,30,0.0216272219257404,0.01972843536114834,0.003601903023861175,0.09999999999999998,0.04999999999999999,0.039999999999999994
1.0,30,0.02,30,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.0,0.0,0.0,0,,,,0.0,0.0,0.0
