noise_model,noise_probability,repetitions,expected_qber,qber_estimate_count,qber_estimate_mean,qber_estimate_sd,qber_estimate_sem,qber_actual_count,qber_actual_mean,qber_actual_sd,qber_actual_sem
depolarizing,0.0,30,0.0,30,0.0,0.0,0.0,30,0.0,0.0,0.0
depolarizing,0.02,30,0.01,30,0.00948998859637662,0.004528162732283593,0.0008267256241753167,30,0.009996546185801314,0.001852477070000806,0.00033821449283350603
depolarizing,0.04,30,0.02,30,0.018276343653384323,0.006212155395519315,0.0011341792136177853,30,0.018858530489262434,0.002638026303297986,0.00048163550453609065
depolarizing,0.06,30,0.03,30,0.03083400855093291,0.007866746938997948,0.0014362649175579643,30,0.03025796973296375,0.00358954279981817,0.0006553578541968875
depolarizing,0.08,30,0.04,30,0.04102091530393174,0.007933827335807204,0.0014485120663909068,30,0.039684928867918155,0.003968315519729114,0.0007245119751511576
depolarizing,0.1,30,0.05,30,0.05200150410516083,0.008249834404946008,0.001506206799757046,30,0.05068071485052918,0.003978536748242544,0.0007263781076252311
depolarizing,0.12,30,0.06,30,0.060984818907544286,0.010124550581642175,0.0018484815793891564,30,0.06122216022996781,0.004319035833113714,0.0007885444508231664
depolarizing,0.14,30,0.07,30,0.0695000801477266,0.011314170420595649,0.0020656754529393166,30,0.06967272993526388,0.0050924731403547705,0.0009297541374871599
depolarizing,0.16,30,0.08,30,0.07975242919106384,0.009349824095477452,0.0017070365219327788,30,0.07892596883324413,0.004883881384394488,0.0008916706674708067
depolarizing,0.18,30,0.09,30,0.09374103727770342,0.013275595061301,0.002423780959792912,30,0.09117069362391807,0.0056079620787262184,0.001023869110717304
depolarizing,0.2,30,0.1,30,0.10729971708883836,0.012347769683398804,0.0022543839968253163,30,0.10149438084819003,0.007018553952745227,0.0012814067736618695
readout_flip,0.0,30,0.0,30,0.0,0.0,0.0,30,0.0,0.0,0.0
readout_flip,0.02,30,0.02,30,0.01784436163551991,0.005333842348785022,0.0009738219242019648,30,0.02036029215456144,0.003102722193331028,0.0005664769783197697
readout_flip,0.04,30,0.04,30,0.03974941658253209,0.011158284518680783,0.0020372147113140466,30,0.04025702549107532,0.0042962013089460575,0.0007843754561643256
readout_flip,0.06,30,0.06,30,0.06001502248236341,0.010903070962301888,0.001990619304044101,30,0.06107321826072366,0.0038957783360490175,0.0007112685578979961
readout_flip,0.08,30,0.08,30,0.08163275735861339,0.011893696393661226,0.0021714819356420324,30,0.08049230319068547,0.0045875122014531035,0.0008375613051886829
readout_flip,0.1,30,0.1,30,0.09549346635982477,0.013025684932903651,0.002378153821568832,30,0.1010218653885731,0.006671602725385566,0.0012180624358022062
readout_flip,0.12,30,0.12,30,0.12097159125970398,0.012582942744254103,0.0022973205269413103,30,0.12069078733592647,0.0066343176979616805,0.0012112551522764526
readout_flip,0.14,30,0.14,30,0.14029012810553168,0.014929773536860945,0.002725791248194142,30,0.14032035155776995,0.006843264338698072,0.0012494034150918691
readout_flip,0.16,30,0.16,30,0.16277562519187266,0.016242091312842426,0.0029653865977008315,30,0.15978315727838044,0.007362824500845694,0.0013442616886883006
readout_flip,0.18,30,0.18,30,0.17400531035602615,0.01808874708825939,0.003302538272415187,30,0.17860095417049304,0.007175554508470577,0.0013100710222990765
readout_flip,0.2,30,0.2,30,0.1983394751922393,0.016417901561704914,0.0029974850107483586,30,0.19821682112285544,0.008824011745290159,0.0016110367601953168
