experiment,repeat,seed,n_signals,eve_fraction,noise_probability,noise_model,loss_probability,basis_probability_z,sample_fraction,sample_size,abort_threshold,confidence,n_detected,n_sifted,n_test,n_remaining,actual_errors,test_errors,qber_actual,qber_estimate,qber_ci_low,qber_ci_high,qber_ci_width,detected_fraction,sifted_fraction,candidate_fraction,has_error,full_sample,expected_qber
05_loss_retention,18,288831536044560498708155808798510112730,5000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2488,497,1991,44,7,0.017684887459807074,0.014084507042253521,0.006838920804809714,0.028784046316771037,0.021945125511961323,1.0,0.4976,0.3982,1,1,0.02
05_loss_retention,19,67239431135108447046009710859987553349,5000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2477,495,1982,45,14,0.018167137666532097,0.028282828282828285,0.016920911626962416,0.046909907278848216,0.0299889956518858,1.0,0.4954,0.3964,1,1,0.02
05_loss_retention,20,85261949056709872769560381988915390209,5000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2480,496,1984,44,12,0.017741935483870968,0.024193548387096774,0.013892879369542206,0.04180769994291047,0.027914820573368263,1.0,0.496,0.3968,1,1,0.02
05_loss_retention,21,239702269884793260358201105390147198728,5000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2572,514,2058,66,18,0.025660964230171075,0.03501945525291829,0.022264390834492158,0.054673170154593255,0.0324087793201011,1.0,0.5144,0.4116,1,1,0.02
05_loss_retention,22,88053746103625169077398105247623990335,5000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2434,486,1948,51,10,0.0209531635168447,0.0205761316872428,0.01121420385082448,0.037457582482029114,0.026243378631204635,1.0,0.4868,0.3896,1,1,0.02
05_loss_retention,23,203433573659915979263852241150686683285,5000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2451,490,1961,60,19,0.02447980416156671,0.03877551020408163,0.02496208872431508,0.059764412207001176,0.034802323482686096,1.0,0.4902,0.3922,1,1,0.02
05_loss_retention,24,252380567845692748738988781022777048088,5000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2521,504,2017,53,12,0.021023403411344704,0.023809523809523808,0.013671527512541139,0.04115160348063804,0.0274800759680969,1.0,0.5042,0.4034,1,1,0.02
05_loss_retention,25,216071493553097659064033850349390449698,5000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2514,502,2012,46,15,0.018297533810660304,0.029880478087649404,0.018190122060578892,0.048711193026545904,0.030521070965967012,1.0,0.5028,0.4024,1,1,0.02
05_loss_retention,26,19444477908803551189438438056985017272,5000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2521,504,2017,55,11,0.0218167393891313,0.021825396825396824,0.012229824395953784,0.03865506964303031,0.026425245247076526,1.0,0.5042,0.4034,1,1,0.02
05_loss_retention,27,206684477634097642200855431155056087506,5000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2485,497,1988,35,6,0.014084507042253521,0.012072434607645875,0.0055443296054033114,0.026085357876929324,0.020541028271526013,1.0,0.497,0.3976,1,1,0.02
05_loss_retention,28,141695698239636549863226114316039735418,5000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2523,504,2019,55,15,0.02179944510503369,0.02976190476190476,0.018117613645473665,0.04852022821029077,0.030402614564817104,1.0,0.5046,0.4038,1,1,0.02
05_loss_retention,29,259371377362179855816317284927675931272,5000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2469,493,1976,43,19,0.017415957877683273,0.038539553752535496,0.024809347345260798,0.05940556281946109,0.03459621547420029,1.0,0.4938,0.3952,1,1,0.02
05_loss_retention,0,240272721106506921314939944662494667589,5000,0.0,0.04,depolarizing,0.1,0.5,0.2,,0.11,0.95,4529,2269,453,1816,51,10,0.02247686205376818,0.02207505518763797,0.012034071401650326,0.04015352751338525,0.028119456111734928,0.9058,0.4538,0.3632,1,1,0.02
05_loss_retention,1,292185491331507541213531172707611045294,5000,0.0,0.04,depolarizing,0.1,0.5,0.2,,0.11,0.95,4485,2295,459,1836,50,13,0.02178649237472767,0.02832244008714597,0.016625173563214822,0.04784929874687004,0.03122412518365522,0.897,0.459,0.3672,1,1,0.02
05_loss_retention,2,127418693589156160773779375913495627408,5000,0.0,0.04,depolarizing,0.1,0.5,0.2,,0.11,0.95,4510,2241,448,1793,30,9,0.013386880856760375,0.020089285714285716,0.010604323998919567,0.03773444260673968,0.027130118607820112,0.902,0.4482,0.3586,1,1,0.02
05_loss_retention,3,223827053515861572161229976084302342680,5000,0.0,0.04,depolarizing,0.1,0.5,0.2,,0.11,0.95,4488,2280,456,1824,47,8,0.0206140350877193,0.017543859649122806,0.008915961591801478,0.03423251586731971,0.02531655427551823,0.8976,0.456,0.3648,1,1,0.02
05_loss_retention,4,140602052668525344463970846518522361105,5000,0.0,0.04,depolarizing,0.1,0.5,0.2,,0.11,0.95,4512,2247,449,1798,44,12,0.019581664441477527,0.026726057906458798,0.015353295988613465,0.04612839540333604,0.030775099414722576,0.9024,0.4494,0.3596,1,1,0.02
05_loss_retention,5,334890077269999857579627998200459666808,5000,0.0,0.04,depolarizing,0.1,0.5,0.2,,0.11,0.95,4508,2239,447,1792,41,5,0.01831174631531934,0.011185682326621925,0.004787057390384528,0.025914331201739305,0.021127273811354777,0.9016,0.4478,0.3584,1,1,0.02
05_loss_retention,6,313724219564158797394461114786247074227,5000,0.0,0.04,depolarizing,0.1,0.5,0.2,,0.11,0.95,4516,2259,451,1808,45,6,0.0199203187250996,0.013303769401330377,0.006111117385520849,0.028717411354510045,0.022606293968989194,0.9032,0.4518,0.3616,1,1,0.02
05_loss_retention,7,276029191464926282953336353189957872318,5000,0.0,0.04,depolarizing,0.1,0.5,0.2,,0.11,0.95,4500,2215,443,1772,42,10,0.018961625282167043,0.022573363431151242,0.012306720697069347,0.04104880026022186,0.028742079563152514,0.9,0.443,0.3544,1,1,0.02
