experiment,repeat,seed,n_signals,eve_fraction,noise_probability,noise_model,loss_probability,basis_probability_z,sample_fraction,sample_size,abort_threshold,confidence,n_detected,n_sifted,n_test,n_remaining,actual_errors,test_errors,qber_actual,qber_estimate,qber_ci_low,qber_ci_high,qber_ci_width,detected_fraction,sifted_fraction,candidate_fraction,has_error,full_sample,expected_qber
02_noise_sweep,19,115308875948643692585924644748029857435,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2486,497,1989,0,0,0.0,0.0,0.0,0.007670009646843955,0.007670009646843955,1.0,0.4972,0.3978,0,1,0.0
02_noise_sweep,20,278912864391761345900102100426493320873,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2480,496,1984,0,0,0.0,0.0,0.0,0.007685354531729935,0.007685354531729935,1.0,0.496,0.3968,0,1,0.0
02_noise_sweep,21,27943480324124713570369262302400539010,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2453,490,1963,0,0,0.0,0.0,0.0,0.0077787288857189595,0.0077787288857189595,1.0,0.4906,0.3926,0,1,0.0
02_noise_sweep,22,77522729050308782937272502531034710594,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2509,501,2008,0,0,0.0,0.0,4.336808689942018e-19,0.007609238016362091,0.007609238016362091,1.0,0.5018,0.4016,0,1,0.0
02_noise_sweep,23,152828431711763595847984993919396491828,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2385,477,1908,0,0,0.0,0.0,0.0,0.007989034119719293,0.007989034119719293,1.0,0.477,0.3816,0,1,0.0
02_noise_sweep,24,39822209196817291370019435433220630003,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2500,500,2000,0,0,0.0,0.0,4.336808689942018e-19,0.007624340461552238,0.007624340461552238,1.0,0.5,0.4,0,1,0.0
02_noise_sweep,25,319312917381726396143347954080820480236,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2458,491,1967,0,0,0.0,0.0,0.0,0.007763009247141672,0.007763009247141672,1.0,0.4916,0.3934,0,1,0.0
02_noise_sweep,26,317355161338453596989948448758729797194,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2510,502,2008,0,0,0.0,0.0,0.0,0.007594195283340362,0.007594195283340362,1.0,0.502,0.4016,0,1,0.0
02_noise_sweep,27,51054613630327114276208607592670680363,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2522,504,2018,0,0,0.0,0.0,4.336808689942018e-19,0.007564287542838138,0.007564287542838138,1.0,0.5044,0.4036,0,1,0.0
02_noise_sweep,28,295672053397521588272112963398718668687,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2486,497,1989,0,0,0.0,0.0,0.0,0.007670009646843955,0.007670009646843955,1.0,0.4972,0.3978,0,1,0.0
02_noise_sweep,29,330851232115959807038448407687846115803,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2532,506,2026,0,0,0.0,0.0,0.0,0.0075346144457921075,0.0075346144457921075,1.0,0.5064,0.4052,0,1,0.0
02_noise_sweep,0,57653547710882901536528691961600920005,5000,0.0,0.02,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2522,504,2018,24,4,0.00951625693893735,0.007936507936507936,0.0030905567254086285,0.020226678634209856,0.017136121908801226,1.0,0.5044,0.4036,1,1,0.01
02_noise_sweep,1,8363246368775171551463445443605683304,5000,0.0,0.02,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2524,504,2020,26,6,0.010301109350237718,0.011904761904761904,0.005467167833239922,0.025726541434768734,0.02025937360152881,1.0,0.5048,0.404,1,1,0.01
02_noise_sweep,2,309398814933913557401664543755246426655,5000,0.0,0.02,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2565,513,2052,26,2,0.0101364522417154,0.003898635477582846,0.0010697983531626756,0.014102085958491457,0.01303228760532878,1.0,0.513,0.4104,1,1,0.01
02_noise_sweep,3,195622044398637326844914929361705785481,5000,0.0,0.02,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2505,501,2004,28,2,0.011177644710578843,0.003992015968063872,0.0010954382745995616,0.014437079278558043,0.01334164100395848,1.0,0.501,0.4008,1,1,0.01
02_noise_sweep,4,48527347967314755241447079297685088576,5000,0.0,0.02,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2518,503,2015,30,6,0.011914217633042097,0.011928429423459244,0.005478059185508203,0.02577719538177527,0.020299136196267067,1.0,0.5036,0.403,1,1,0.01
02_noise_sweep,5,178018098906898129109176717651407145618,5000,0.0,0.02,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2488,497,1991,21,3,0.008440514469453377,0.006036217303822937,0.002054938332071118,0.017594910232517177,0.01553997190044606,1.0,0.4976,0.3982,1,1,0.01
02_noise_sweep,6,263822490097351875708421779360280369084,5000,0.0,0.02,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2499,499,2000,34,13,0.013605442176870748,0.026052104208416832,0.0152870819393247,0.04405857919744952,0.02877149725812482,1.0,0.4998,0.4,1,1,0.01
02_noise_sweep,7,221187710586509503004371994762677731987,5000,0.0,0.02,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2507,501,2006,23,6,0.009174311926605505,0.011976047904191617,0.00549997259395358,0.02587910403279505,0.020379131438841472,1.0,0.5014,0.4012,1,1,0.01
02_noise_sweep,8,92641034847093436199283349527433563136,5000,0.0,0.02,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2433,486,1947,31,4,0.012741471434443074,0.00823045267489712,0.003205183749129618,0.020968880343368274,0.017763696594238654,1.0,0.4866,0.3894,1,1,0.01
02_noise_sweep,9,285074616539904918686218416082740766245,5000,0.0,0.02,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2516,503,2013,22,5,0.008744038155802861,0.009940357852882704,0.004253190738357409,0.023056056719220508,0.0188028659808631,1.0,0.5032,0.4026,1,1,0.01
02_noise_sweep,10,114894669720793212361770156683091865238,5000,0.0,0.02,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2499,499,2000,26,4,0.010404161664665866,0.008016032064128256,0.0031215668995021977,0.02042752320230783,0.017305956302805632,1.0,0.4998,0.4,1,1,0.01
02_noise_sweep,11,299822744296787728131787258569600342804,5000,0.0,0.02,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2497,499,1998,23,4,0.0092110532639167,0.008016032064128256,0.0031215668995021977,0.02042752320230783,0.017305956302805632,1.0,0.4994,0.3996,1,1,0.01
02_noise_sweep,12,66624783871031772321792546217264314340,5000,0.0,0.02,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2477,495,1982,30,6,0.012111425111021397,0.012121212121212121,0.005566777501760262,0.026189722565705557,0.020622945063945297,1.0,0.4954,0.3964,1,1,0.01
02_noise_sweep,13,97197850623251845552843183272732623454,5000,0.0,0.02,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2458,491,1967,24,3,0.009764035801464606,0.006109979633401222,0.0020800753757635165,0.017808029481392713,0.015727954105629195,1.0,0.4916,0.3934,1,1,0.01
02_noise_sweep,14,140963412185559945367559513329322377136,5000,0.0,0.02,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2458,491,1967,13,3,0.0052888527257933275,0.006109979633401222,0.0020800753757635165,0.017808029481392713,0.015727954105629195,1.0,0.4916,0.3934,1,1,0.01
02_noise_sweep,15,267184812310945884869670172944746282852,5000,0.0,0.02,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2464,492,1972,20,3,0.008116883116883116,0.006097560975609756,0.002075843248514517,0.017772151802365216,0.0156963085538507,1.0,0.4928,0.3944,1,1,0.01
02_noise_sweep,16,195244455619900059908470469437241832965,5000,0.0,0.02,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2552,510,2042,21,6,0.008228840125391849,0.011764705882352941,0.0054027184684768085,0.0254267495488597,0.020024031080382892,1.0,0.5104,0.4084,1,1,0.01
