sample_size,repetitions,expected_qber,qber_estimate_count,qber_estimate_mean,qber_estimate_sd,qber_estimate_sem,qber_ci_width_count,qber_ci_width_mean,qber_ci_width_sd,qber_ci_width_sem,candidate_fraction_count,candidate_fraction_mean,candidate_fraction_sd,candidate_fraction_sem,theory_qber_sd
10,30,0.05,30,0.04,0.056324184797504596,0.010283342182227605,30,0.3196338903801844,0.05750991393534061,0.010499825714188917,30,0.4981666666666667,0.005991507399606568,0.001093894585407879,0.06892024376045111
25,30,0.05,30,0.05600000000000001,0.03728732797595192,0.006807703547174105,30,0.19990702340392383,0.04029701837801,0.0073571953219454395,30,0.49444666666666676,0.009447595327450488,0.0017248870250083461,0.04358898943540673
50,30,0.05,30,0.03866666666666667,0.03191943882201947,0.005827665555242063,30,0.11756573515030619,0.029814512301618242,0.005443360309537193,30,0.49184666666666665,0.00649746546518444,0.0011862694672974384,0.030822070014844882
100,30,0.05,30,0.054666666666666676,0.020633640649114292,0.0037671701423251454,30,0.09208127180195237,0.014204930452114977,0.002593453612138477,30,0.47913333333333336,0.006732388689853279,0.0012291603837750976,0.021794494717703367
250,30,0.05,30,0.04693333333333335,0.012862491133560387,0.002348358846520406,30,0.05331353603444375,0.006735820439204325,0.0012297869326188546,30,0.44949333333333324,0.00647557391057073,0.0011822726345371768,0.013784048752090222
500,30,0.05,30,0.047133333333333347,0.008673118730061704,0.001583487590791785,30,0.03749010933265091,0.0031627294712232874,0.0005774327582251269,30,0.39998,0.007709438907979105,0.0014075445318693835,0.009746794344808964
1000,30,0.05,30,0.051399999999999994,0.007029985039470028,0.00128349379501386,30,0.027465688581164896,0.0017723357482059164,0.0003235827562550589,30,0.2994533333333334,0.006217424532400212,0.0011351412219938685,0.006892024376045111
1250,30,0.05,30,0.050080000000000006,0.00514442450117366,0.0009392391148916918,30,0.024267703130302274,0.001186798546498877,0.00021667877837725955,30,0.24903333333333333,0.007501555394272134,0.0013695903686058027,0.006164414002968977
