experiment,repeat,seed,n_signals,eve_fraction,noise_probability,noise_model,loss_probability,basis_probability_z,sample_fraction,sample_size,abort_threshold,confidence,n_detected,n_sifted,n_test,n_remaining,actual_errors,test_errors,qber_actual,qber_estimate,qber_ci_low,qber_ci_high,qber_ci_width,detected_fraction,sifted_fraction,candidate_fraction,has_error,full_sample,expected_qber
03_sample_uncertainty,18,92540545071432853667816711804696589080,5000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,5000,2506,10,2496,127,0,0.050678371907422186,0.0,2.7755575615628914e-17,0.27753279986288915,0.27753279986288915,1.0,0.5012,0.4992,0,1,0.05
03_sample_uncertainty,19,99848195294408981719222190338835216503,5000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,5000,2473,10,2463,116,0,0.046906591184795794,0.0,2.7755575615628914e-17,0.27753279986288915,0.27753279986288915,1.0,0.4946,0.4926,0,1,0.05
03_sample_uncertainty,20,140824849952650777460931612122201240605,5000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,5000,2539,10,2529,117,1,0.04608113430484443,0.1,0.017876213095072896,0.40415002679523837,0.38627381370016545,1.0,0.5078,0.5058,1,1,0.05
03_sample_uncertainty,21,88175793245816993926194885433008000803,5000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,5000,2521,10,2511,121,1,0.047996826656088856,0.1,0.017876213095072896,0.40415002679523837,0.38627381370016545,1.0,0.5042,0.5022,1,1,0.05
03_sample_uncertainty,22,219352030703649937689183227286917956593,5000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,5000,2551,10,2541,127,1,0.0497843982751862,0.1,0.017876213095072896,0.40415002679523837,0.38627381370016545,1.0,0.5102,0.5082,1,1,0.05
03_sample_uncertainty,23,177618127768093621678062870037690708376,5000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,5000,2504,10,2494,111,1,0.044329073482428115,0.1,0.017876213095072896,0.40415002679523837,0.38627381370016545,1.0,0.5008,0.4988,1,1,0.05
03_sample_uncertainty,24,326292607254123229610770817506071732168,5000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,5000,2454,10,2444,124,0,0.05052974735126324,0.0,2.7755575615628914e-17,0.27753279986288915,0.27753279986288915,1.0,0.4908,0.4888,0,1,0.05
03_sample_uncertainty,25,104598249036368510432744899626761667904,5000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,5000,2535,10,2525,121,0,0.04773175542406312,0.0,2.7755575615628914e-17,0.27753279986288915,0.27753279986288915,1.0,0.507,0.505,0,1,0.05
03_sample_uncertainty,26,215789520260117416924241064761533556313,5000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,5000,2538,10,2528,108,0,0.0425531914893617,0.0,2.7755575615628914e-17,0.27753279986288915,0.27753279986288915,1.0,0.5076,0.5056,0,1,0.05
03_sample_uncertainty,27,36169358116779759958782169645901803503,5000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,5000,2456,10,2446,113,0,0.046009771986970684,0.0,2.7755575615628914e-17,0.27753279986288915,0.27753279986288915,1.0,0.4912,0.4892,0,1,0.05
